royal-blue-graduation-tassel,Royal Blue Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_royal_blue_one_color_tassel_2018-2.jpg,4.95,"<p><b>Royal Blue Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Royal Blue Tassel. The tassel is an essential part of graduation regalia, Royal Blue Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_royal_blue_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/royal_blue_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
navy-blue-graduation-tassel,Navy Blue Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_navy_one_color_tassel_2018-2.jpg,4.95,"<p><b>Navy Blue Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Navy Blue Tassel. The tassel is an essential part of graduation regalia, Navy Blue Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/navy_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_navy_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
purple-graduation-tassel,Purple Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_purple_one_color_tassel_2018-2.jpg,4.95,"<p><b>Purple Graduation Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy commencement tassels in bulk now for extra savings!</p> ",Purchase this purple tassel online today to complete your graduation look. To make it more special, our commencement tassels also include a year charm., Purple Graduation Tassel | Commencement Tassel, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active 
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_purple_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/purple_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
gold-graduation-tassel,Gold Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_gold_one_color_tassel_2018.jpg,4.95,"<p><b>Gold Graduation Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy commencement tassels in bulk now for extra savings!</p> ",Include this gold tassel with the rest of your graduation regalia and you'll shine from head to toe. Order commencement tassels individually or in bulk from Graduation World today., Gold Graduation Tassel | Commencement Tassel for Sale, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_gold_one_color_tassel_2018-2.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/gold_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
antique-gold-graduation-tassel,Antique Gold Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_antique_gold_one_color_tassel_2018-1.jpg,4.95,"<p><b>Antique Gold Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Antique Gold Tassel. The tassel is an essential part of graduation regalia, Antique Gold Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/antique_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_antique_gold_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
orange-graduation-tassel,Orange Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_orange_one_color_tassel_2018-2.jpg,4.95,"Orange Graduation Tassel. The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one.  Made from high quality poly/rayon blended cord; our graduation hat tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",If your school colors include orange, then this graduation hat tassel will complete your commencement attire. Check out this tassel from Graduation World., Orange Graduation Tassel | Graduation Hat Tassel, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active 
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_orange_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/orange_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
