name,color,description
Gold Graduation Tassel,Gold,Gold Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp 
Antique Gold Graduation Tassel,Gold,Antique Gold Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp 
Orange Graduation Tassel,Orange,Orange Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp 
Pink Graduation Tassel,Pink,Pink Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp 
Red Graduation Tassel,Red,Red Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp 
Maroon Graduation Tassel,Maroon,Maroon Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secuMaroon with a strong metal clasp 
Brown Graduation Tassel,Brown,Brown Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secuBrown with a strong metal clasp 
Green Graduation Tassel,Green,Green Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secuGreen with a strong metal clasp 
Emerald Green Graduation Tassel,Green,Emerald Green Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secuEmerald Green with a strong metal clasp 
Hunter Graduation Tassel,,Hunter Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secuHunter with a strong metal clasp 
Black Graduation Tassel,Black,Black Tassel  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secuBlack with a strong metal clasp 
Double Color Graduation Tassel,,Double Color Tassel  &bull;Chose two colors to give yourself the tassel you want  &bull;Made from high quality blended cord  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
White Graduation Jumbo Tassel,White,White Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Silver Graduation Jumbo Tassel,Silver,Silver Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Light Blue Graduation Jumbo Tassel,Light Blue,Light Blue Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Royal Blue Graduation Jumbo Tassel,Royal Blue,Royal Blue Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Navy Blue Graduation Jumbo Tassel,Navy Blue,Navy Blue Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Purple Graduation Jumbo Tassel,Purple,Purple Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Gold Graduation Jumbo Tassel,Gold,Gold Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Antique Gold Graduation Jumbo Tassel,Gold,Antique Gold Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Orange Graduation Jumbo Tassel,Orange,Orange Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Pink Graduation Jumbo Tassel,Pink,Pink Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Red Graduation Jumbo Tassel,Red,Red Jumbo Tassel. Looking for a bit extra from your tassel? The jumbo tassel is the right choice for you. This extra full tassel will give you a more prestigious and distinctive look. Each jumbo tassel is 9" long and includes a hang loop allows easy attachment to a graduation cap. The jumbo tassel also comes with a year drop signet to mark your special year of graduation! Order one now to look the part on graduation day!   Red Graduation Tassel. Jumbo Tassel. Graduation Chords and Tassels  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp 
Maroon Graduation Jumbo Tassel,Maroon,Maroon Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Brown Graduation Jumbo Tassel,Brown,Brown Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Green Graduation Jumbo Tassel,Green,Green Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Emerald Green Graduation Jumbo Tassel,Green,Emerald Green Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Hunter Graduation Jumbo Tassel,,Hunter Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Black Graduation Jumbo Tassel,Black,Black Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Double Color Graduation Jumbo Tassel,,Double Color Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
Three Color Graduation Jumbo Tassel,,Three Color Jumbo Tassel  &bull;Made from high quality blended cord  &bull;Jumbo tassels have a fuller; more distinctive look  &bull;Tassel measures 9" and has a 6" hang loop to attach easily to the cap  &bull;Each tassel includes a free hanging year date charm  &bull;Year charm is secured with a strong metal clasp  
White Graduation Honor Cord,White,White Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Silver Graduation Honor Cord,Silver,Silver Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Light Blue Graduation Honor Cord,Light Blue,Light Blue Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Royal Blue Graduation Honor Cord,Royal Blue,Royal Blue Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Navy Blue Graduation Honor Cord,Navy Blue,Navy Blue Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Purple Graduation Honor Cord,Purple,Purple Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Gold Graduation Honor Cord,Gold,Gold Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Antique Gold Graduation Honor Cord,Gold,Antique Gold Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Orange Graduation Honor Cord,Orange,Orange Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Pink Graduation Honor Cord,Pink,Pink Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Red Graduation Honor Cord,Red,Red Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Maroon Graduation Honor Cord,Maroon,Maroon Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Brown Graduation Honor Cord,Brown,Brown Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Green Graduation Honor Cord,Green,Green Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Emerald Green Graduation Honor Cord,Green,Emerald Green Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Hunter Graduation Honor Cord,,Hunter Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Black Graduation Honor Cord,Black,Black Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord  
Apricot Graduation Honor Cord,,Apricot Honor Cord. Often representing different honor societies; honor cords are among the most popular graduation accessories. Graduation World's honor cords are crafted from multiple thin strands of high quality fabric and 60" long with a tassel on each end. Show pride in your honor society in wearing our classic honor cord at your graduation ceremony!   Apricot Honor Cord  &bull;Made from entwined strands of high quality thin fabric  &bull;The honor cord is 60" long   &bull;4" bulb tassels at each end of the honor cord 
Double Graduation Honor Cords,,Double Honor Cords. If you are having trouble choosing which color of honor cord is right for you; why not pick two? Graduation World's double honor cords are crafted from two honor cords tied together made from high quality fabric and 58" long. The double honor cord has tassels on each end and will give you a fantastic look for when you take to the stage; without breaking the bank. Show pride in your honor society in wearing our beautifully made double honor cord at your graduation ceremony!   Double Honor Cords  &bull;Two honor cords tied together   &bull;You pick the colors and Graduation World  makes it especially for you  &bull;Double Honor Cord is 58" long  &bull;4" bulb tassels at each end of the honor cord
White Graduation Stole ,White,White Stole. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   White Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Silver Graduation Stole ,Silver,Silver Stole. Silver Graduation Stole. Honor Silver Graduation Sashes  A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   Silver Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Light Blue Graduation Stole,Light Blue,Light Blue Stole.Light Blue Graduation Stole   A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!    Light Blue Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex Honor Graduation Sashes
Royal Blue Graduation Stole ,Royal Blue,Royal Blue Stole. Royal Blue Graduation Stole. Honor Graduation Sashes A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   Royal Blue Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Navy Blue Graduation Stole ,Navy Blue,Navy Blue Stole. Navy Blue Graduation Stole  Navy Blue Stole. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!    &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex Honor Graduation Sashes
Purple Graduation Stole,Purple,Purple Stole. Purple Graduation Stole.  Purple Stole. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!  &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Gold Graduation Stole,Gold,Gold Stole. Gold Graduation StoleHonor Graduation Sashes. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   Gold Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Antique Gold Graduation Stole ,Gold,Antique Gold Stole. Antique Gold Graduation Stole.  A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!  Antique Gold Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Orange Graduation Stole,Orange,Orange Stole. Orange Graduation Stole.Graduation Sashes. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!    Orange Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Pink Graduation Stole ,Pink,&bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Red Graduation Stole,Red,Red Graduation Stole. Honor Graduation Sashes. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   Red Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Maroon Graduation Stole ,Maroon,Maroon Stole. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   Maroon Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Brown Graduation Stole ,Brown,Brown Stole.  Honor Graduation Sashes. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   Brown Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Green Graduation Stole ,Green,Green Stole. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!  Green Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Emerald Green Graduation Stole ,Green,Emerald Green Stole. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!  Emerald Green Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Hunter Green Graduation Stole ,Hunter Green,Hunter Stole. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   Hunter Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
Black Graduation Stole,Black,Black Stole. A classic graduation accessory; stoles are worn by graduates from specific organizations and denote academic achievement. Graduation World's stoles are made from beautiful bridal satin and has pointed arrow edges. The stole is worn equally over the shoulders and should measure 31" on each side. To change your graduation look and add extra honor; buy a stole now from Graduation World!   Black Stole &bull;Graduation World stoles are made from beautiful sleek bridal satin &bull;Pointed arrow edges &bull;Worn over the shoulders; each length should be 31" &bull;Graduation World stoles are one size fits all and unisex 
White Honor Graduation Stole ,White,White Honor Stole. For students of particular academic achievement; a White Honor Stole will be the right graduation accessory for you. These beautifully elegant stoles are made from fine bridal satin; with 'Honor' imprinted on both sides; and measures a total of 62". Worn over the shoulder; this stole would enhance any graduation outfit adding a touch of prestige and class. For extra savings; order in bulk from Graduation World!   White Honor Stole &bull;Made of fine bridal satin &bull;Arrow pointed edges &bull;'Honor' printed on both sides &bull;The stole measures 62“ in total and is 5" wide &bull;One size fits all &bull;A great addition to a graduation gown
White Valedictorian Graduation Stole,White,White Valedictorian Stole. The hardest working and highest academic achievers can be honored with Graduation World's Valedictorian Stole. This classic stole will let your finest students display their success to family and friends on their big day. Our one size fits all unisex Valedictorian Stole is 62" long and worn over the shoulders. Crated from fine bridal satin; it has 'Valedictorian' printed on both sides. But online and get this stole to make your prize winning students look their very best!  White Valedictorian Stole &bull;Made of fine bridal satin &bull;Arrow pointed edges &bull;'Valedictorian' printed on both sides &bull;The stole measures 62“ in total and is 5" wide &bull;One size fits all &bull;A great addition to a graduation gown
White Salutatorian Graduation Stole,White,White Salutatorian Stole. Your achievements should be recognized; and this Salutatorian Stole is the perfect way to mark your academic success in front of family and friends. Simple and cost effective; this stole is made from soft bridal satin and has 'Salutatorian' printed on both sides. Measuring 62" and with arrow pointed edges; this stole is the ideal way to celebrate your Salutatorian's academic success. Buy it now in bulk to enjoy extra discounts!  White Salutatorian Stole &bull;Made of fine bridal satin &bull;Arrow pointed edges &bull;'Salutatorian' printed on both sides &bull;The stole measures 62“ in total and is 5" wide &bull;One size fits all &bull;A great addition to a graduation gown
Gold Valedictorian Graduation Stole,Gold,Gold Valedictorian Stole. The hardest working and highest academic achievers can be honored with Graduation World's Valedictorian Stole. This classic stole will let your finest students display their success to family and friends on their big day. Our one size fits all unisex Valedictorian Stole is 62" long and worn over the shoulders. Crated from fine bridal satin; it has 'Valedictorian' printed on both sides. But online and get this stole to make your prize winning students look their very best!   Gold Valedictorian Stole &bull;Made of fine bridal satin &bull;Arrow pointed edges &bull;'Valedictorian' printed on both sides &bull;The stole measures 62“ in total and is 5" wide &bull;One size fits all &bull;A great addition to a graduation gown
Gold Honor Graduation Stole ,Gold,Gold Honor Stole. For students of particular academic achievement; a White Honor Stole will be the right graduation accessory for you. These beautifully elegant stoles are made from fine bridal satin; with 'Honor' imprinted on both sides; and measures a total of 62". Worn over the shoulder; this stole would enhance any graduation outfit adding a touch of prestige and class. For extra savings; order in bulk from Graduation World!  Gold Honor Stole &bull;Made of fine bridal satin &bull;Arrow pointed edges &bull;'Honor' printed on both sides &bull;The stole measures 62“ in total and is 5" wide &bull;One size fits all &bull;A great addition to a graduation gown
Gold Salutatorian Graduation Stole,Gold,Gold Salutatorian Stole. Your achievements should be recognized; and this Salutatorian Stole is the perfect way to mark your academic success in front of family and friends. Simple and cost effective; this stole is made from soft bridal satin and has 'Salutatorian' printed on both sides. Measuring 62" and with arrow pointed edges; this stole is the ideal way to celebrate your Salutatorian's academic success. Buy it now in bulk to enjoy extra discounts!   Gold Salutatorian Stole &bull;Made of fine bridal satin &bull;Arrow pointed edges &bull;'Salutatorian' printed on both sides &bull;The stole measures 62“ in total and is 5" wide &bull;One size fits all &bull;A great addition to a graduation gown
White Graduation V Stole,White,White V Stole &bull;Made of fine bridal satin &bull;One size fits all &bull;Front panel V is 6" long with back panel measuring 14.5" long &bull;One size fits all &bull;A great addition to a graduation gown for honor recognition
Royal Blue Graduation V Stole ,Royal Blue,Royal Blue V Stole. These beautifully made stoles are the ideal way to showcase the achievements of the best students; or show family and friends school or team pride. This classic V stole is the perfect accessory to sharpen up a graduation outfit. Made from soft fine bridal satin; the front V panel measures 6" long with the back panel measuring 14.5". The stole is one size fits all and will look great for every graduation. Buy online now!  Royal Blue V Stole &bull;Made of fine bridal satin &bull;One size fits all &bull;Front panel V is 6" long with back panel measuring 14.5" long &bull;One size fits all &bull;A great addition to a graduation gown for honor recognition
Red Graduation V Stole ,Red,Red V Stole. These beautifully made stoles are the ideal way to showcase the achievements of the best students; or show family and friends school or team pride. This classic V stole is the perfect accessory to sharpen up a graduation outfit. Made from soft fine bridal satin; the front V panel measures 6" long with the back panel measuring 14.5". The stole is one size fits all and will look great for every graduation. Buy online now!  Red V Stole &bull;Made of fine bridal satin &bull;One size fits all &bull;Front panel V is 6" long with back panel measuring 14.5" long &bull;One size fits all &bull;A great addition to a graduation gown for honor recognition
Gold Graduation V Stole ,Gold,Gold V Stole. These beautifully made stoles are the ideal way to showcase the achievements of the best students; or show family and friends school or team pride. This classic V stole is the perfect accessory to sharpen up a graduation outfit. Made from soft fine bridal satin; the front V panel measures 6" long with the back panel measuring 14.5". The stole is one size fits all and will look great for every graduation. Buy online now!  Gold V Stole &bull;Made of fine bridal satin &bull;One size fits all &bull;Front panel V is 6" long with back panel measuring 14.5" long &bull;One size fits all &bull;A great addition to a graduation gown for honor recognition
Valedictorian Medal,,Valedictorian Medal | Salutatorian Medal - Scholastic Medal Award Medal - Valedictorian Medallion Valedictorian Medal. The hours of hard work resulting in high achievement for the valedictorian deserves to be recognized. There is no better way to honor this achievement than presenting your high flyer with a beautiful Valedictorian Medal. Graduation World has high quality value for money zinc medals that can be purchased today. Our Valedictorian Medal is inscribed with a classic old-English font and weighs 4 ounces; coming with a beautiful 15.5" gold ribbon. Order in bulk now for extra savings!  Valedictorian Medal &bull;Made from a heavy zinc alloy &bull;Medal image is of a scroll and quill &bull;'Valedictorian' inscribed on the front in classic font &bull;15.5" gold ribbon
Salutatorian Medal ,,Salutatorian Medal | Scholastic Medal Award Medal  Salutatorian Medal. The hours of hard work resulting in high achievement for the salutatorian deserves to be recognized. There is no better way to honor this achievement than presenting your high flyer with a beautiful Valedictorian Medal. Graduation World has high quality value for money zinc medals that can be purchased today. Our Salutatorian Medal is inscribed with a classic old-English font and weighs 4 ounces; coming with a beautiful 15.5" gold ribbon. Order in bulk now for extra savings!  Salutatorian Medal &bull;Made from a heavy zinc alloy &bull;Medal image is of a scroll and quill &bull;'Salutatorian' inscribed on the front in classic font &bull;15.5" gold ribbon
Black Diploma of Graduation Cover,Black,Black Diploma Cover.Want to keep your graduation certificate in good condition and in pride of place? Look no further than our diploma covers which will keep your certificate looking pristine and smart. We have a range of beautiful diploma covers to match your school color; measuring 8.5" and 11". Buy now in bulk to make extra savings for these fantastic products! Black Diploma Cover   &bull;High quality leatherette bound material   &bull;Satin panel interior   &bull;Silk folded ribbons on the corners   &bull;Cover measures 8.5" by 11" and opens horizontally
