name,color,description
Matte Green Graduation Cap,Green,Matte Green Cap  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Matte Emerald Green Graduation Cap,Green,Matte Emerald Green Cap  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Matte Hunter Graduation Cap,,Matte Hunter Cap  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Matte Black Graduation Cap,Black,Matte Black Cap  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child White Graduation Cap,White,Child White Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Silver Graduation Cap,Silver,Child Silver Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Light Blue Graduation Cap,Light Blue,Child Light Blue Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Royal Blue Graduation Cap,Royal Blue,Child Royal Blue Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Navy Blue Graduation Cap,Navy Blue,Child Navy Blue Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Purple Graduation Cap,Purple,Child Purple Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Gold Graduation Cap,Gold,Child Gold Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Orange Graduation Cap,Orange,Child Orange Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Pink Graduation Cap,Pink,Child Pink Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Red Graduation Cap,Red,Child Red Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Maroon Graduation Cap,Maroon,Child Maroon Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Brown Graduation Cap,Brown,Child Brown Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Green Graduation Cap,Green,Child Green Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Emerald Green Graduation Cap,Green,Child Emerald Green Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Hunter Graduation Cap,,Child Hunter Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Child Black Graduation Cap,Black,Child Black Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny White Graduation Cap with Tassel,White,Shiny White Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
