name,color,description,Tassel Color 1,Tassel Color 2,Tassel Color 3
Matte Gold Graduation Cap- Gown & Tassel,Gold,Matte Gold Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching gold color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Red Graduation Cap- Gown & Tassel,Red,Matte Red Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching red color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Maroon Graduation Cap- Gown & Tassel,Maroon,Matte Maroon Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching maroon color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Green Graduation Cap- Gown & Tassel,Green,Matte Green Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching green color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Emerald Green Graduation Cap- Gown & Tassel,Green,Matte Emerald Green Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching emerald green color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Hunter Graduation Cap- Gown & Tassel,,Matte Hunter Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching hunter color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Black Graduation Cap- Gown & Tassel,Black,Matte Black Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching black color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
White Child Graduation Cap- Gown & Tassel,White,White Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;White shiny tricot fabric  &bull;Durable zipper in matching white color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Silver Child Graduation Cap- Gown & Tassel,Silver,Silver Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Silver shiny tricot fabric  &bull;Durable zipper in matching Silver color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Light Blue Child Graduation Cap- Gown & Tassel,Light Blue,Light Blue Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Light Blue shiny tricot fabric  &bull;Durable zipper in matching Light Blue color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
